ID,name_first,name_last,contact_phone,contact_email,address_street,address_city,address_state,zip_code,classification,pay_method,salary,hourly,commission_rate,routing_number,account,social_security,birthday,start_date,permission,title,dept,email,end_date
688997,Karina,Gay,555-555-555,Karina.Gay@uvu.edu,998 Vitae St.,Atlanta,GA,45169,1,1,45884.99,46.92,34,30417353-K,465794-3611,123-45-678,1/1/1980,12/1/2012,Admin,CEO,EXEC,Karina.Gay@uvu.edu,1/1/2018
522759,TaShya D.,Snow,555-555-555,TaShya.D.Snow@uvu.edu,2624 Hendrerit St.,College,AK,99789,2,2,50005.5,68.13,25,36644938-8,244269-0000,123-45-678,2/1/1980,11/1/2013,Admin,CTO,EXEC,TaShya.D.Snow@uvu.edu,2/1/2018
165966,Rooney,Alvarado,555-555-555,Rooney.Alvarado@uvu.edu,4963 Nisl. St. Ap #185,Gillette,WY,20226,3,2,34532.37,21.53,24,37324307-8,422046-0739,123-45-678,3/1/1980,10/1/2015,Employee,Customer Service,CS,TaShya.D.Snow@uvu.edu,3/1/2018
983010,Jolene,Burgess,555-555-555,Jolene.Burgess@uvu.edu,P.O. Box 873,South Burlington,VT,32036,2,2,20042.77,40.17,23,15300058-1,828625-2906,123-45-678,4/1/1980,9/1/2015,Employee,Sales Rep,Sales,Jolene.Burgess@uvu.edu,4/1/2018
939825,Yoko M.,Pitts,555-555-555,Yoko M..Pitts@uvu.edu,4825 Nec Ave,Meridian,ID,45614,1,1,35251.89,46.64,13,44553589-3,785957-2104,123-45-678,5/1/1980,8/1/2015,Employee,Sales Rep,Sales,Pitts@uvu.edu,5/1/2018
379767,Jin W.,Morrison,555-555-555,Jin.W.Morrison@uvu.edu,8628 Id St.,Milwaukee,WI,80356,3,1,64467.1,82.98,33,21038669-6,654904-8491,123-45-678,6/1/1980,7/1/2015,Employee,Sales Rep,Sales,Jin.W.Morrison@uvu.edu,6/1/2018
900100,Sopoline,Bullock,555-555-555,Sopoline.Bullock@uvu.edu,4963 Nisl. St. Ap #579,Idaho Falls,ID,65094,1,2,81929.49,42.76,16,46979340-0,485847-0083,123-45-678,7/1/1980,6/1/2015,Employee,Developer,ENG,Sopoline.Bullock@uvu.edu,7/1/2018
969829,Bruce A.,Raymond,555-555-555,Bruce.A.Raymond@uvu.edu,65009 Iaculis Road,Juneau,AK,99719,1,2,37697.26,17.33,22,28504011-6,397558-4404,123-45-678,8/1/1980,5/1/2015,Employee,Developer,ENG,Bruce.A.Raymond@uvu.edu,8/1/2018
283809,Hanae,Dickson,555-555-555,Hanae.Dickson@uvu.edu,1633 Dolor Av.,Dover,DE,61813,1,2,51018.46,91.22,35,48786143-K,295643-0090,123-45-678,9/1/1980,4/1/2015,Employee,Customer Service,CS,Hanae.Dickson@uvu.edu,9/1/2018
224568,Jenna B.,Strickland,555-555-555,Jenna.B.Strickland@uvu.edu,70156 Rutrum Street,Phoenix,AZ,86207,1,1,57545.39,24.7,23,33878326-4,248847-6397,123-45-678,10/1/1980,3/1/2015,Employee,Sales Rep,Sales,Jenna.B.Strickland@uvu.edu,10/1/2018
752867,Ruth S.,Haley,555-555-555,Ruth.S.Haley@uvu.edu,6384 Risus Av. Ap #943,Waterbury,CT,58012,2,1,61050.17,42.26,24,12046284-9,399575-5166,123-45-678,11/1/1980,2/1/2015,Employee,Customer Service,CS,Ruth.S.Haley@uvu.edu,11/1/2018
163695,Beatrice P.,Ware,555-555-555,Beatrice.P.Ware@uvu.edu,8903 Eget Rd.,Oklahoma City,OK,20552,1,1,46342.01,86.47,17,26387832-9,212804-3003,123-45-678,12/1/1980,1/1/2015,Employee,Customer Service,CS,Beatrice.P.Ware@uvu.edu,12/1/2018
226423,Randall,Horton,555-555-555,Randall.Horton@uvu.edu,3834 Tortor Av.,Topeka,KS,52541,2,2,40872.6,57.05,31,13255163-4,104934-8350,123-45-678,1/1/1981,12/1/2014,Employee,Sales Rep,Sales,Randall.Horton@uvu.edu,1/1/2019
349833,Damian,Garrison,555-555-555,Damian.Garrison@uvu.edu,1646 In Street,San Francisco,CA,95787,2,2,99571.55,82.41,19,45550736-7,779184-5410,123-45-678,2/1/1981,11/1/2014,Employee,Customer Service,CS,Damian.Garrison@uvu.edu,2/1/2019
531061,Alvin,Guerrero,555-555-555,Alvin.Guerrero@uvu.edu,248 Mauris St. Ap #748,Indianapolis,IN,92237,2,2,56430.96,38.42,27,16935557-6,994966-8363,123-45-678,3/1/1981,10/1/2014,Employee,Sales Rep,Sales,Alvin.Guerrero@uvu.edu,3/1/2019
169927,Alexandra Y.,Duke,555-555-555,Alexandra.Y.Duke@uvu.edu,P.O. Box 727,Springfield,MA,50647,2,2,31631.98,95.73,13,23609043-4,538878-8548,123-45-678,4/1/1981,9/1/2014,Employee,Customer Service,CS,Alexandra.Y.Duke@uvu.edu,4/1/2019
